lat;lon;validdate;t_2m:F;dew_point_002m:F;t_apparent:F;visibility:km;wind_speed_10m:mph;wind_gusts_10m_1h:mph;wind_dir_10m:d;prob_precip_1h:p;precip_1h:mm;tstorm_warning_1h:idx
32.61;-90.03;2023-07-09T06:00:00Z;75.3;72.3;80.5;22.9;3.9;14.0;168.5;1.0;0.00;0
32.61;-90.03;2023-07-09T07:00:00Z;74.4;72.3;80.1;21.0;3.7;11.3;180.1;1.0;0.00;0
32.61;-90.03;2023-07-09T08:00:00Z;74.4;72.6;80.0;20.3;4.4;13.3;189.1;1.0;0.00;0
32.61;-90.03;2023-07-09T09:00:00Z;74.4;72.8;80.0;21.3;5.3;14.5;175.2;2.4;0.09;0
32.61;-90.03;2023-07-09T10:00:00Z;74.3;73.0;80.4;18.7;4.0;14.5;180.6;1.0;0.00;0
32.61;-90.03;2023-07-09T11:00:00Z;74.3;73.2;80.4;15.5;4.2;14.8;199.3;1.0;0.00;0
32.61;-90.03;2023-07-09T12:00:00Z;74.9;72.8;81.4;6.8;7.4;19.4;223.1;1.0;0.00;0
32.61;-90.03;2023-07-09T13:00:00Z;76.7;73.3;85.2;11.0;9.2;20.7;227.7;1.0;0.00;0
32.61;-90.03;2023-07-09T14:00:00Z;77.7;73.9;88.8;14.1;10.0;20.7;236.6;1.0;0.00;0
32.61;-90.03;2023-07-09T15:00:00Z;80.1;74.8;93.7;17.8;8.6;19.1;254.4;1.0;0.00;0
32.61;-90.03;2023-07-09T16:00:00Z;83.6;75.4;98.6;28.9;7.8;18.1;253.0;1.0;0.00;0
32.61;-90.03;2023-07-09T17:00:00Z;85.5;76.6;101.7;30.8;6.9;14.3;238.9;1.0;0.00;0
32.61;-90.03;2023-07-09T18:00:00Z;86.9;77.2;103.1;30.7;7.5;11.1;218.2;1.0;0.00;0
32.61;-90.03;2023-07-09T19:00:00Z;87.8;76.1;100.3;31.7;7.2;10.9;250.8;1.0;0.00;0
32.61;-90.03;2023-07-09T20:00:00Z;86.8;74.5;95.8;6.9;8.7;12.7;253.2;10.8;0.28;0
32.61;-90.03;2023-07-09T21:00:00Z;83.2;74.0;90.8;23.8;4.8;12.7;262.4;17.4;0.47;0
32.61;-90.03;2023-07-09T22:00:00Z;80.3;74.0;86.9;9.5;5.7;10.1;140.7;17.2;0.55;0
32.61;-90.03;2023-07-09T23:00:00Z;79.3;73.9;85.8;9.0;5.4;7.8;153.0;5.4;0.13;0
